#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
70.37006,123,1364.307083
76.87001,133,1365.011857
93.74997,170,1366.051614
96.95993,169,1367.113759
117.59994,210,1368.280592
72.68001,132,1369.16222
226.81969,363,1371.277926
49.540024,106,1372.038334
43.370064,103,1372.751579
51.860016,99,1374.861899
375.97958,377,1377.21414
50.310043,99,1377.939783
44.33001,107,1378.758971
176.2598,289,1380.505663
76.11003,129,1381.408228
44.06002,104,1382.17029
47.080032,112,1382.975267
42.75006,105,1383.728171
68.39006,121,1384.534055
51.16002,99,1385.240701
43.86007,104,1385.940282
412.22946,437,1389.966461
94.69998,175,1391.101897
47.38002,112,1391.838343
71.57004,123,1392.63992
408.9896,441,1395.211675
50.11004,99,1395.921588
49.600044,100,1396.633996
47.450043,90,1397.278799
162.77983,267,1399.005795
48.86004,104,1399.730365
77.230034,132,1400.680424
44.290016,111,1401.488231
406.1296,437,1405.45016
177.39981,290,1407.225475
373.70978,419,1409.937783
48.890045,101,1410.665475
228.81964,368,1412.874685
50.23004,107,1413.593513
166.15993,274,1415.34967
50.300034,100,1416.054821
46.03002,107,1416.789718
176.22975,287,1419.988006
47.83001,112,1420.740474
235.57965,347,1422.806043
74.630005,137,1423.697699
168.47961,257,1425.047805
168.35997,274,1426.364892
45.130035,107,1426.957646
74.36999,133,1427.704687
50.780037,102,1428.3986
50.420044,108,1428.976863
50.080025,112,1429.630122
51.08004,112,1431.451544
414.36954,433,1433.530814
43.94004,106,1434.230008
374.4497,375,1436.103264
47.070038,103,1436.743637
53.660034,99,1437.342526
42.950066,105,1438.028602
51.00003,100,1438.671565
181.19972,290,1440.098293
73.95003,125,1440.817694
71.18005,122,1441.480026
405.0696,443,1444.742476
412.69968,440,1446.727943
166.13994,276,1448.206375
51.42005,108,1448.813883
42.310066,109,1449.538917
177.8598,294,1451.014798
51.70002,110,1451.642322
411.47964,442,1455.323656
43.640045,106,1456.062041
74.53002,127,1456.771701
76.77001,133,1457.577613
163.3198,278,1459.309199
50.010033,109,1460.104974
232.5197,363,1461.949724
414.10962,439,1463.952829
410.3995,440,1465.97996
165.2198,268,1468.179752
155.93982,261,1469.433878
50.51004,109,1470.222476
43.07007,113,1470.924449
162.91,304,1472.601751
76.67,133,1473.352697
383.93948,416,1475.578386
43.240074,106,1476.360073
50.410034,109,1477.105651
42.070076,113,1477.917982
181.48973,296,1480.291437
44.46003,104,1480.888071
414.3198,448,1482.869744
45.98005,102,1483.429523
49.33004,107,1483.974098
76.51005,129,1484.660255
44.170036,103,1485.239378
180.03984,291,1486.819682
76.03998,136,1487.650217
43.60005,110,1488.423446
178.65974,284,1490.036861
223.64958,330,1492.712902
186.02971,287,1494.042149
184.35977,294,1495.579386
415.7695,443,1497.96273
51.80005,100,1498.648701
413.03976,456,1501.055876
50.00003,110,1501.751827
167.9699,278,1504.143898
417.82956,437,1506.226249
44.31002,109,1506.808325
419.74976,445,1508.734914
77.07002,133,1509.434219
114.149956,180,1510.304062
163.82964,277,1511.78548
180.6598,289,1513.199939
416.62943,437,1516.64171
160.3499,260,1518.166927
416.7096,439,1520.358444
51.630028,107,1520.999937
47.72001,113,1521.568208
416.02963,442,1523.591471
43.970024,113,1524.368084
187.55984,299,1527.509792
54.160034,99,1528.32012
47.350044,90,1528.953818
183.36961,293,1530.515316
120.66001,214,1531.891722
51.300056,100,1532.64575
50.75004,105,1533.36252
76.86,134,1534.125816
52.12005,108,1534.750007
180.05977,289,1536.203046
51.16004,104,1536.775386
